description,url,article_upload_date
Proposal to set up banana cluster in Jalgaon for export: Abhishek Dev,https://www.freepressjournal.in/corporate-gallery/proposal-to-set-up-banana-cluster-in-jalgaon-for-export-abhishek-dev,2024-07-09
"Bengal's Malda mango exports hit, sellers getting better prices in domestic market",https://economictimes.indiatimes.com/news/economy/foreign-trade/bengals-malda-mango-exports-hit-sellers-getting-better-prices-in-domestic-market/articleshow/111531884.cms,2024-07-09
"PM Modi speaks to UK counterpart Starmer, both agree to work for early free trade agreement",https://economictimes.indiatimes.com/news/economy/foreign-trade/pm-modi-speaks-to-uk-counterpart-starmer-both-agree-to-work-for-early-free-trade-agreement/articleshow/111535765.cms,2024-07-09
India's coal import rises 5 pc to 52 MT in April-May,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-coal-import-rises-5-pc-to-52-mt-in-april-may/articleshow/111549303.cms,2024-07-09
"India, UK to hold next round of talks on proposed trade agreement this month",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-uk-to-hold-next-round-of-talks-on-proposed-trade-agreement-this-month/articleshow/111555937.cms,2024-07-09
PM Modi's Russia visit: India keeps close watch as its $60bn trade partner cosies up to rival China,https://economictimes.indiatimes.com/news/economy/foreign-trade/pm-modis-russia-visit-india-keeps-close-watch-as-its-60bn-trade-partner-cosies-up-to-rival-china/articleshow/111568470.cms,2024-07-09
India mulls easing rice export limits in boon to world buyers,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-mulls-easing-rice-export-limits-in-boon-to-world-buyers/articleshow/111584719.cms,2024-07-09
Bangladesh To Use More Indian Ports For Third Country Exports.,https://www.maritimegateway.com/bangladesh-to-use-more-indian-ports-for-third-country-exports/,2024-07-04
India may gain from trade actions against China: IMF.,https://timesofindia.indiatimes.com/business/india-business/india-may-gain-from-trade-actions-against-china-imf/articleshow/111442478.cms,2024-07-04
India aims to clock $2 trillion goods and services exports by 2030.,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-aims-to-clock-2-trillion-goods-and-services-exports-by-2030/articleshow/111467412.cms,2024-07-04
"India, Australia look at increasing cooperation in critical minerals, processing",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-australia-look-at-increasing-cooperation-in-critical-minerals-processing/articleshow/111402884.cms,2024-07-04
"Commerce ministry developing platform for registration, resolution of non-trade barriers",https://economictimes.indiatimes.com/news/economy/foreign-trade/commerce-ministry-developing-platform-for-registration-resolution-of-non-trade-barriers/articleshow/111432094.cms,2024-07-04
India initiates anti-dumping probe into import of Chinese lift guide rails,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-initiates-anti-dumping-probe-into-import-of-chinese-lift-guide-rails/articleshow/111463881.cms,2024-07-04
India aims to clock $2 trillion goods and services exports by 2030,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-aims-to-clock-2-trillion-goods-and-services-exports-by-2030/articleshow/111467412.cms,2024-07-04
"Centre imposes stockholding limit on wheat to check hoarding, ensure price stability",https://economictimes.indiatimes.com/news/economy/agriculture/india-imposes-limits-on-wheat-stocks-may-cut-import-tax/articleshow/111225313.cms?from=mdr,2024-06-26
Philippines reduces rice import tax to 15%,https://vietnamnews.vn/economy/1658125/philippines-reduces-rice-import-tax-to-15.html,2024-06-26
"After US, Amul to launch fresh milk in Canada",https://www.thehindubusinessline.com/economy/agri-business/after-us-amul-to-launch-fresh-milk-in-canada/article68317089.ece,2024-06-26
Pre-Budget meet: Exporters to seek support measures to boost exports.,https://economictimes.indiatimes.com/news/economy/policy/pre-budget-meet-exporters-to-seek-support-measures-to-boost-exports/articleshow/111238370.cms,2024-06-26
WTO: India supports African Group’s demand for policy space to pursue green industrialisation,https://www.thehindubusinessline.com/economy/wto-trade-in-environment-india-supports-african-groups-demand-for-policy-space-to-pursue-green-industrialisation/article68328231.ece,2024-06-26
"High-quality Prayagraj mangoes now heading to UAE, Oman.",https://www.hindustantimes.com/cities/others/highquality-prayagraj-mangoes-now-heading-to-uae-oman-101719170686381.html,2024-06-26
"India, Korea start trade pact review",https://www.financialexpress.com/business/industry-india-korea-start-trade-pact-review-3532638/,2024-06-26
"India, UAE discuss collaboration on trans-regional trade routes",https://www.tribuneindia.com/news/india/india-uae-discuss-collaboration-on-trans-regional-trade-routes-633766,2024-06-26
"DGTR for continuation of anti-subsidy duty on certain type of steel pipes, tubes from China, Vietnam",https://economictimes.indiatimes.com/news/economy/foreign-trade/dgtr-for-continuation-of-anti-subsidy-duty-on-certain-type-of-steel-pipes-tubes-from-china-vietnam/articleshow/111233396.cms,2024-06-26
India buys record amount of sunflower oil as Ukraine-Russia fight for market share cuts price,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-buys-record-amount-of-sunflower-oil-as-ukraine-russia-fight-for-market-share-cuts-price/articleshow/111233637.cms,2024-06-26
Discussions on for comprehensive free trade agreement with India: Australian diplomat,https://economictimes.indiatimes.com/news/economy/foreign-trade/discussions-on-for-comprehensive-free-trade-agreement-with-india-australian-diplomat/articleshow/111265771.cms,2024-06-26
"Govt permits 2,000 tonnes non-basmati white rice exports to Malawi, Zimbabwe",https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-permits-2000-tonnes-non-basmati-white-rice-exports-to-malawi-zimbabwe/articleshow/111131409.cms,2024-06-24
DGFT implements automated system for adhoc input-output norms fixation,https://economictimes.indiatimes.com/news/economy/foreign-trade/dgft-introduces-automated-system-for-adhoc-norms-boosts-flexibility-in-foreign-trade/articleshow/111146797.cms,2024-06-24
"India's May oil imports: Russia at record high, Saudi lowest in 10-month",https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-may-oil-imports-russia-at-record-high-saudi-lowest-in-10-month/articleshow/111171425.cms,2024-06-24
"DGFT, Revenue dept working on dedicated hubs to boost e-commerce exports",https://economictimes.indiatimes.com/news/economy/foreign-trade/dgft-revenue-dept-working-on-dedicated-hubs-to-boost-e-commerce-exports/articleshow/111205083.cms,2024-06-24
"Commerce min engaging with different departments on India, Korea FTA upgrade talks: Official",https://economictimes.indiatimes.com/news/economy/foreign-trade/commerce-min-engaging-with-different-departments-on-india-korea-fta-upgrade-talks-official/articleshow/111207517.cms,2024-06-24
Kolkata port-Shanghai direct cargo service begins.,https://theprint.in/economy/kolkata-port-shanghai-direct-cargo-service-begins/2125503/,2024-06-11
Settling trade disputes through ‘litigotiation’.,https://www.thehindu.com/opinion/op-ed/settling-trade-disputes-through-litigotiation/article68269642.ece,2024-06-11
"Indian Rupee's stability and low cost makes it attractive for carry trade, Bank of America says.",https://www.hindustantimes.com/business/indian-rupees-stability-and-low-cost-makes-it-attractive-for-carry-trade-bank-of-america-says-101718017148254.html,2024-06-11
"Commerce Ministry's focus likely on signing FTAs, reviving exports.",https://www.business-standard.com/economy/news/signing-ftas-reviving-exports-top-agenda-for-commerce-industry-ministry-124060900373_1.html,2024-06-11
"India, the US and 12 other nations sign Indo-Pacific region economic pact.",https://economictimes.indiatimes.com/small-biz/trade/exports/insights/india-the-us-and-12-other-nations-sign-indo-pacific-region-sign-economic-pact/articleshow/110861162.cms?from=mdr,2024-06-11
Indian traders demand resumption of border trade with China through Lipulekh pass,https://economictimes.indiatimes.com/news/economy/foreign-trade/indian-traders-demand-resumption-of-border-trade-with-china-through-lipulekh-pass/articleshow/110871541.cms,2024-06-11
BRICS calls for enhanced use of local currencies in trade between member countries,https://economictimes.indiatimes.com/news/economy/foreign-trade/brics-calls-for-enhanced-use-of-local-currencies-in-trade-between-member-countries/articleshow/110888455.cms,2024-06-11
FSSAI directs beverage companies to remove '100% fruit juice' claim from labels and ads.,https://www.thehindubusinessline.com/economy/agri-business/fssai-directs-beverage-companies-to-remove-100-fruit-juice-claim-from-labels-and-ads/article68247514.ece,2024-06-05
India's May palm oil imports reach 4-month high on price drop-dealers.,https://www.thehindu.com/business/Industry/indias-may-palm-oil-imports-reach-4-month-high-on-price-drop-dealers/article68252721.ece,2024-06-05
Kenya: Treasury opens gates for duty-free imports of rice.,https://www.businessdailyafrica.com/bd/economy/treasury-opens-gates-for-duty-free-imports-of-rice-4645640,2024-06-05
FSSAI unveils new logo for organic foods.,https://www.fnbnews.com/Top-News/fssai-unveils-new-logo-for-organic-foods-77694,2024-06-05
Netherlands emerges as India's 3rd largest export destination in 2023-24.,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/netherlands-emerges-as-indias-3rd-largest-export-destination-in-2023-24/articleshow/110721058.cms?from=mdr,2024-06-05
"FSSAI working on integrating all food related norms, conference told.",https://www.fnbnews.com/Top-News/fssai-working-on-integrating-all-food-related-norms-conference-told-77658,2024-06-03
India’s Basmati rice GI tag bid against Pakistan: The EU boost.,"https://www.thehindubusinessline.com/multimedia/video/indias-basmati-rice-gi-tag-bid-against-pakistan-the-eu-boost/article68239573.ece#:~:text=Updated%20%2D%20June%2001%2C%202024%20at%2006%3A21%20PM.&text=The%20European%20Union's%20review,and%20the%20global%20basmati%20market.",2024-06-03
DGFT taps export bodies for inputs on efficacy of interest equalisation scheme.,https://www.thehindubusinessline.com/economy/dgft-taps-export-bodies-for-inputs-on-efficacy-of-interest-equalisation-scheme/article68243275.ece,2024-06-03
"EAM Jaishankar, his Nicaraguan counterpart discuss bilateral cooperation, global issues.",https://timesofindia.indiatimes.com/india/eam-jaishankar-his-nicaraguan-counterpart-discuss-bilateral-cooperation-global-issues/articleshow/110585052.cms,2024-06-03
"Trade pacts help India cut deficits with UAE, Aus.",https://www.newindianexpress.com/business/2024/May/31/trade-pacts-help-india-cut-deficits-with-uae-aus,2024-06-03
"FSSAI To Set New Quality Standards For Milk, Dairy Products.",https://businessworld.in/article/fssai-to-set-new-quality-standards-for-milk-dairy-products-83781,2024-05-31
"India set for wheat imports after six years, to shore up reserves.",https://economictimes.indiatimes.com/news/economy/agriculture/india-set-for-wheat-imports-after-six-years-to-shore-up-reserves/articleshow/110531794.cms,2024-05-31
India’s exports to Latin American countries are more than to neighboring countries and traditional trade partners.,https://www.financialexpress.com/business/defence-indias-exports-to-latin-american-countries-are-more-than-to-neighboring-countries-and-traditional-trade-partners-3506113/,2024-05-31
Commerce ministry working on standard operating procedure for FTA negotiation,https://economictimes.indiatimes.com/news/economy/foreign-trade/commerce-ministry-working-on-standard-operating-procedure-for-fta-negotiation/articleshow/110500566.cms,2024-05-31
India imports more silver in 4 months of 2024 than in all of 2023,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-imports-more-silver-in-4-months-than-in-all-of-2023/articleshow/110535274.cms,2024-05-31
UAE looking to expand scope of trade under CEPA with India: Official,https://economictimes.indiatimes.com/news/economy/foreign-trade/uae-looking-to-expand-scope-of-trade-under-cepa-with-india-official/articleshow/110562135.cms,2024-05-31
"""If they are considering FTA with India, we will surely look into it"": MEA denies any FTA proposal with Maldives",https://economictimes.indiatimes.com/news/economy/foreign-trade/no-proposal-made-to-maldives-for-fta-india/articleshow/110567193.cms,2024-05-31
EU’s deforestation law that could hit Indian exports opposed by many WTO members.,https://www.thehindubusinessline.com/economy/eus-deforestation-law-that-could-hit-indian-exports-opposed-by-many-wto-members/article68217956.ece,2024-05-28
India's coffee exports rise 12% to $1.28 billion in 2023-24,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-coffee-exports-rise-12-to-1-28-billion-in-2023-24/articleshow/110395429.cms,2024-05-28
"Brazil, Canada, EU urge India to submit timely notifications on sugar subsidies in WTO",https://economictimes.indiatimes.com/news/economy/foreign-trade/brazil-canada-eu-urge-india-to-submit-timely-notifications-on-sugar-subsidies-in-wto/articleshow/110422729.cms,2024-05-28
India in trade deficit with nine of top 10 trading partners in 2023-24,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-in-trade-deficit-with-nine-of-top-10-trading-partners-in-2023-24/articleshow/110437028.cms,2024-05-28
India's engineering exports to Russia surge amid Ukraine conflict but sanctions remain a concern,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-engineering-exports-to-russia-surge-amid-ukraine-conflict-but-sanctions-remain-a-concern/articleshow/110467494.cms,2024-05-28
Exports of marine products drop 9% to $7.37 billion in 2023-24,https://economictimes.indiatimes.com/news/economy/foreign-trade/exports-of-marine-products-drop-9-to-7-37-billion-in-2023-24/articleshow/110470507.cms,2024-05-28
Australian avocados enter the market with Brett Lee as ambassador.,https://www.fnbnews.com/Top-News/australian-avocados-enter-the-market-with-brett-lee-as-ambassador-77477,2024-05-14
Soyameal exports up 8.8% at 15.23 lakh tonnes during October-April.,https://www.thehindubusinessline.com/economy/agri-business/soyameal-exports-up-88-at-1523-lakh-tonnes-during-october-april/article68171377.ece,2024-05-14
India likely to export almost 18 million tonnes of rice in 2024-25: USDA.,https://www.business-standard.com/industry/agriculture/india-likely-to-export-almost-18-million-tonnes-of-rice-in-2024-25-usda-124051200379_1.html,2024-05-14
India Set To Remain Leading Player In Global Rice Market Despite Restrictions: USDA.,https://news.abplive.com/business/rice-exports-ban-india-rice-production-india-set-to-remain-leading-player-in-global-rice-market-despite-restrictions-usda-1687023,2024-05-14
Next round of talks for India-ATIGA FTA to start in Jakarta on 29 July.,https://www.livemint.com/news/india/next-round-of-talks-for-india-atiga-fta-to-start-in-jakarta-on-29-july-11715513948743.html,2024-05-14
"India-EU FTA 'most difficult, complex' due to non-trade issues: EAM Jaishankar.",https://www.aninews.in/news/world/asia/india-eu-fta-most-difficult-complex-due-to-non-trade-issues-eam-jaishankar20240513173637/#google_vignette,2024-05-14
"Chabahar port: India, Iran to sign 10-year agreement for operations, EAM Jaishankar confirms",https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-imports-from-fta-partners-up-38-during-2019-24-fiscal-years-gtri/articleshow/110074080.cms,2024-05-14
Government working to help exporters deal with countervailing duty cases,https://economictimes.indiatimes.com/news/economy/foreign-trade/government-working-to-help-exporters-deal-with-countervailing-duty-cases/articleshow/110090774.cms,2024-05-14
India Maldives hold talks to enhance trade cooperation.,https://www.theweek.in/wire-updates/business/2024/05/01/fgn63-maldives-india-trade.html,2024-05-03
"India and New Zealand to have deeper collaboration in Pharma, Agriculture and Food Processing Industries, among others.",https://pib.gov.in/PressReleasePage.aspx?PRID=2019407,2024-05-03
"China, Hong Kong account for 56 pc of India 's total imports of electronics, telecom, electrical products: GTRI",https://economictimes.indiatimes.com/news/economy/foreign-trade/china-hong-kong-account-for-56-pc-of-india-s-total-imports-of-electronics-telecom-electrical-products-gtri/articleshow/109787013.cms,2024-05-03
"India, Maldives hold talks to enhance trade cooperation.",https://timesofindia.indiatimes.com/india/india-maldives-hold-talks-to-enhance-trade-cooperation/articleshow/109758512.cms,2024-05-02
"India, Nigeria agree to early conclusion of local currency settlement system agreement",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-nigeria-agree-to-early-conclusion-of-local-currency-settlement-system-agreement/articleshow/109750160.cms,2024-05-02
Developing e-com hubs to boost exports may figure in ministry's 100-day agenda of new govt: Official,https://economictimes.indiatimes.com/news/economy/foreign-trade/developing-e-com-hubs-to-boost-exports-may-figure-in-ministrys-100-day-agenda-of-new-govt-official/articleshow/109750690.cms,2024-05-02
"China, Hong Kong account for 56 pc of India 's total imports of electronics, telecom, electrical products: GTRI",https://economictimes.indiatimes.com/news/economy/foreign-trade/china-hong-kong-account-for-56-pc-of-india-s-total-imports-of-electronics-telecom-electrical-products-gtri/articleshow/109787013.cms,2024-05-02
"Delegates from Bhutan, Bangladesh, and Nepal Explore Millet Innovations at ICAR-NAARM's a-IDEA.",https://krishijagran.com/news/delegates-from-bhutan-bangladesh-and-nepal-explore-millet-innovations-at-icar-naarms-a-idea/,2024-04-30
India growth may top 7% in FY25: NCAER.,https://economictimes.indiatimes.com/news/economy/indicators/india-growth-may-top-7-in-fy25-ncaer/articleshow/109703628.cms,2024-04-30
"Centre allows export of 99,150 MT of onion.",https://timesofindia.indiatimes.com/business/india-business/centre-allows-export-of-99150-mt-of-onion/articleshow/109692423.cms,2024-04-30
"Increasing global uncertainties may impact demand, India's exports: FIEO",https://economictimes.indiatimes.com/news/economy/foreign-trade/increasing-global-uncertainties-may-impact-demand-indias-exports-fieo/articleshow/109690172.cms,2024-04-30
Kazakhstan-Turkmenistan-Afghanistan discuss possible transport corridor to India & West Asia,https://economictimes.indiatimes.com/news/economy/foreign-trade/kazakhstan-turkmenistan-afghanistan-discuss-possible-transport-corridor-to-india-west-asia/articleshow/109712793.cms,2024-04-30
"Poultry, feed, grain sectors take part in India trade trip.",https://www.wattagnet.com/latest-news/article/15669220/poultry-feed-grain-sectors-take-part-in-india-trade-trip,2024-04-24
"India aims for growth in alcobev exports with global quality acceptance, removal of non-tariff barriers.",https://www.cnbctv18.com/economy/india-aims-for-growth-in-alcobev-exports-with-global-quality-acceptance-removal-of-non-tariff-barriers-19400784.htm,2024-04-24
"India sees no major impact of Iran-Israel conflict on its exports, official says.",https://www.deccanherald.com/india/india-sees-no-major-impact-of-iran-israel-conflict-on-its-exports-official-says-2990494,2024-04-24
Govt aims to grab 10% agri exports market.,https://www.hindustantimes.com/india-news/govt-aims-to-grab-10-agri-exports-market-101713901056116.html,2024-04-24
"Spices Board examining Singapore, Hong Kong ban on few MDH & Everest products on quality concern",https://economictimes.indiatimes.com/news/economy/foreign-trade/spices-board-examining-singapore-hong-kong-ban-on-few-mdh-everest-products-on-quality-concern/articleshow/109505127.cms,2024-04-24
"As tensions mount in Red Sea, freight charges, insurance premiums may surge further",https://economictimes.indiatimes.com/news/economy/foreign-trade/as-tensions-mount-in-red-sea-freight-charges-insurance-premiums-may-surge-further/articleshow/109510264.cms,2024-04-24
"Exports of Ashwagandha rose 8 times in 6 years, says Ministry of Ayush.",https://www.thehindubusinessline.com/economy/exports-of-ashwagandha-rose-8-times-in-6-years-says-ministry-of-ayush/article68061397.ece,2024-04-16
"India inks deals with Brazil, Argentina for pulses import.",https://www.hindustantimes.com/india-news/india-inks-deals-with-brazil-argentina-for-pulses-import-101713119848536.html,2024-04-16
Sugar export: India won't be feeding sugar to the world this season,https://economictimes.indiatimes.com/news/economy/foreign-trade/sugar-export-india-wont-be-feeding-sugar-to-the-world-this-season/articleshow/109309137.cms,2024-04-16
India will decide policy step once impact of Iran-Israel conflict understood,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-will-decide-policy-step-once-impact-of-iran-israel-conflict-understood/articleshow/109312389.cms,2024-04-16
Government imposes port restrictions for exporting essential commodities to Maldives,https://economictimes.indiatimes.com/news/economy/foreign-trade/government-imposes-port-restrictions-for-exporting-essential-commodities-to-maldives/articleshow/109320534.cms,2024-04-16
"India allows onion export to Sri Lanka, gives additional quota to UAE",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-allows-onion-export-to-sri-lanka-gives-additional-quota-to-uae/articleshow/109336817.cms,2024-04-16
US trade mission to visit India to explore opportunities in agribusiness.,https://economictimes.indiatimes.com/news/economy/foreign-trade/us-trade-mission-to-visit-india-to-explore-opportunities-in-agribusiness/articleshow/109213179.cms,2024-04-15
Maldives in discussion with India to pay in local currency for imports: Minister,https://economictimes.indiatimes.com/news/economy/foreign-trade/maldives-in-discussion-with-india-to-pay-in-local-currency-for-imports-minister/articleshow/109241448.cms,2024-04-15
I-T department issues clarification regarding India-Mauritius tax treaty,https://economictimes.indiatimes.com/news/economy/foreign-trade/concerns-raised-regarding-recent-amendment-to-india-mauritius-dtaa/articleshow/109253740.cms,2024-04-15
Payment mechanism for traders importing pulses from Myanmar simplified: Govt,https://economictimes.indiatimes.com/news/economy/foreign-trade/payment-mechanism-for-traders-importing-pulses-from-myanmar-simplified-govt/articleshow/109266089.cms,2024-04-15
"Iran-Israel conflict: Exporters of basmati rice, tea worried",https://economictimes.indiatimes.com/news/economy/foreign-trade/iran-israel-conflict-exporters-of-basmati-rice-tea-worried/articleshow/109294017.cms,2024-04-15
India's pharma exports to US surge 15% in 11 months of FY24,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-pharma-exports-to-us-surge-15-in-11-months-of-fy24/articleshow/109294213.cms,2024-04-15
India's exports to Europe may be affected due to Iran-Israel conflict,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-exports-to-europe-may-be-affected-due-to-iran-israel-conflict/articleshow/109294304.cms,2024-04-15
Melon seeds permitted without restrictions from May 1 to June 30 on actual user basis.,https://www.ptinews.com/story/business/melon-seeds-permitted-without-restrictions-from-may-1-to-june-30-on-actual-user-basis/1415896,2024-04-10
UAE chicken imports forecast to rise - GAIN.,https://www.thepoultrysite.com/news/2024/04/uae-chicken-imports-forecast-to-rise-gain,2024-04-10
Nepal proposes customs pact with India to curb border trade offences.,"https://www.newindianexpress.com/nation/2024/Apr/08/nepal-proposes-customs-pact-with-india-to-curb-border-trade-offences#:~:text=NEW%20DELHI:%20Nepal%20has%20proposed,related%20offences%20across%20the%20border",2024-04-10
India’s trade talks with South American trade bloc on the back burner.,https://www.livemint.com/economy/indias-trade-talks-with-south-american-trade-block-on-the-back-burner-11712660393796.html,2024-04-10
"Aromatic black rice 'Chak-hao' gains popularity, will be exported to Europe.",https://www.indiatodayne.in/manipur/story/manipur-aromatic-black-rice-chak-hao-gains-popularity-will-be-exported-to-europe-973702-2024-04-07,2024-04-10
"India’s NCEL to export 1,600 tonnes of white rice to Singapore.",https://www.thehindubusinessline.com/economy/agri-business/indias-ncel-to-export-1600-tonnes-of-white-rice-to-singapore/article68047065.ece,2024-04-10
Jaishankar raises India’s concerns over restrictions of Russian diamonds with Belgium,https://economictimes.indiatimes.com/news/economy/foreign-trade/jaishankar-raises-indias-concerns-over-restrictions-of-russian-diamonds-with-belgium/articleshow/109172532.cms,2024-04-10
"China, India top buyers of Russian seaborne fuel oil, VGO in Feb, LSEG data shows",https://economictimes.indiatimes.com/news/economy/foreign-trade/china-india-top-buyers-of-russian-seaborne-fuel-oil-vgo-in-feb-lseg-data-shows/articleshow/109191959.cms,2024-04-10
"Northeast India To Become Export Hub For Bangladesh, ASEAN Markets.",https://knnindia.co.in/news/newsdetails/sectors/northeast-india-to-become-export-hub-for-bangladesh-asean-markets,2024-04-08
"India removes export restrictions on rice, onions, sugar, 6 others to Maldives",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-removes-export-restrictions-on-rice-onions-sugar-6-others-to-maldives/articleshow/109072005.cms,2024-04-08
"Maldives thanks India for export quotas, lifted restrictions",https://economictimes.indiatimes.com/news/economy/foreign-trade/maldives-thanks-india-for-export-quotas-lifted-restrictions/articleshow/109080491.cms,2024-04-08
"Economic relations secretary in MEA to visit Rwanda, Uganda, Kenya",https://economictimes.indiatimes.com/news/economy/foreign-trade/economic-relations-secretary-in-mea-to-visit-rwanda-uganda-kenya/articleshow/109085355.cms,2024-04-08
PMO asks commerce ministry to examine model text of investment treaty,https://economictimes.indiatimes.com/news/economy/foreign-trade/pmo-asks-commerce-ministry-to-examine-model-text-of-investment-treaty/articleshow/109101008.cms,2024-04-08
India may extend duty-free imports of yellow pea till May to maintain affordability and availability domestically.,https://www.livemint.com/news/india/india-may-extend-duty-free-imports-of-yellow-pea-till-may-to-maintain-affordability-and-availability-domestically-11712136762246.html,2024-04-04
"Govt looks to make North East export hub for Bangladesh, Asean.",https://www.hindustantimes.com/india-news/govt-looks-to-make-north-east-export-hub-for-bangladesh-asean-101712170723858.html,2024-04-04
Commerce ministry shifts focus to push fresh fruits and vegetables to US and EU.,https://www.livemint.com/news/india/commerce-ministry-shifts-focus-to-push-fresh-fruits-and-vegetables-to-us-and-eu-11712144494436.html,2024-04-04
"India initiates anti-dumping probe into import of a chemical from China, Japan",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-initiates-anti-dumping-probe-into-import-of-a-chemical-from-china-japan/articleshow/108952470.cms,2024-04-04
"Govt has taken up issue of ban on imports of Russian diamonds by EU, G7: S Jaishankar",https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-has-taken-up-issue-of-ban-on-imports-of-russian-diamonds-by-eu-g7-s-jaishankar/articleshow/108952738.cms,2024-04-04
Govt allows Kala namak rice export from 6 customs stations,https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-allows-kala-namak-rice-export-from-6-customs-stations/articleshow/108981182.cms,2024-04-04
"Shrimp exporters follow robust regulatory, safety regime; aim exports worth Rs 1 lakh crore: Official",https://economictimes.indiatimes.com/news/economy/foreign-trade/shrimp-exporters-follow-robust-regulatory-safety-regime-aim-exports-worth-rs-1-lakh-crore-official/articleshow/109011141.cms,2024-04-04
"India allows additional 10,000 tonne of onion exports to UAE",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-allows-additional-10000-tonne-of-onion-exports-to-uae/articleshow/109012330.cms,2024-04-04
Russia says there is no problem with payment for its oil shipments to India,https://economictimes.indiatimes.com/news/economy/foreign-trade/russia-says-there-is-no-problem-with-payment-for-its-oil-shipments-to-india/articleshow/109012526.cms,2024-04-04
"FSSAI issues revised list of labs for testing micronutrients in FR, FRK.",https://www.fnbnews.com/Top-News/fssai-issues-revised-list-of-labs-for-testing-micronutrients-in-fr-frk-77116,2024-04-01
Frozen duck meat imports from US may rise on cut in Customs duty.,https://www.thehindubusinessline.com/economy/agri-business/frozen-duck-meat-imports-from-us-may-rise-on-cut-in-customs-duty/article68006511.ece,2024-04-01
