question,answer,topic,url,crawling_date
Question: What is SCOMET items?,"SCOMET is the nomenclature for dual use items of Special Chemicals, Organisms, Materials, Equipment and Technologies (SCOMET). Export of dual-use items and technologies under India’s Foreign Trade Policy is regulated. It is either prohibited or is permitted under an Authorisation.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is third party exports?,Third party exports means exports made by an exporter or manufacturer on behalf of another exporter(s).,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is Customs duty?,Customs duty is the duty charged on goods on their importation into India or exportation out of India.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is ITC (HS) Codes?,Indian Trade Classification (Harmonized System) [ITC (HS)]is a compilation of codes for all merchandise / goods for export/ import. Goods are classified based on their group or sub-group at 2/4/6/8 digits.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: How the export documents are procured?,Shipping Bills are processed by the System on the basis of declarations made by the exports.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What are the examination norms for export goods?,"The quantum of examination is dependent on the export promotion scheme under which the export is being made as also the destination port. Generally, 5% or 10% of the goods are subjected to examination.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is the Let Export Order and how it is given?,"When the Customs Officer is satisfied that the particulars entered in the System conform to the description given in the original documents, he gives Let Export Order. Once, LEO is given, the Shipping Bill is printed.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is Duty Drawback Scheme?,"Under the Scheme, exporters are reimbursed the Customs Duty paid on inputs used in export production.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is the procedure for claiming Duty Drawback?,"Drawback is claimed in the Shipping Bill filed and separate application is required to be filed. After actual export of goods, the Drawback is processed through EDI Systems. The claim amount is directly credited in the designated Bank Account in the designated Bank registered in the System.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Which are the Agencies authorized for Quality Certification?,"For ISO 9000(Series) and for ISO 14000 (series), the Agencies accredited with National Accreditation Board for Certification Bodies (NABCB) under Quality Council of India are authorized. List of such accredited Agencies is available on the website www.qcin.organd also provided under Appendix 21 of Handbook of Procedures (HBP).",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Which are the Registering Authorities?,Registering Authority is a body notified by DGFT to register exporters/ importers as its members by issuing Registration-Cum-Membership Certificate (RCMC). List of notified Registering Authorities is at Appendix-2T of HBP.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is the procedure for getting RCMC?,An application for obtaining RCMC is required to be made in ANF 2C to register and becoming member of Export Promotion Council or FIEO. Exporter should declare his main line of business and obtain RCMC from the Council which is concerned with the product of his main line of business. Multi-product exporters and products not covered under any EPC can obtain RCMC from FIEO. The validity of RCMC is 5 years from 1st April to 31st March.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is the Certificate of Origin (CoO)?,It is an instrument to establish evidence on origin of goods imported into any country. There are two categories of CoO viz. (i) Preferential and (ii) non-preferential.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Who are the Agencies for issue of these Certificates?,"For Preferential CoO for which tariff concessions are granted by an importing country under Free Trade Agreement or Preferential Trade Agreement or GSP, Government Agencies like Export Inspection Agency etc. are authorized. For non-preferential CoO, Government has nominated certain Agencies like FIEO to issue the same.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is the role of the Reserve Bank of India in exports?,The RBI regulates the foreign exchange matters as per the FEMA Act. It issues guidelines for realization of export proceeds by the exporter from time to time through the authorized dealers.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: Whether there is any restriction on invoicing of export contracts in Indian Rupee?,"As per the FEMA Act, there is no such restriction. All export contracts & invoices may be denominated either in Indian rupee or in any freely foreign exchange. However, to avail export benefits under Foreign Trade Policy export proceeds is required to be realized in freely convertible currency. ",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is the time period for submission of export documents to the AD Bank?,"Within 21 days from the date of export, the documents are required to be submitted to the AD Bank.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What happens in cases where there is a delay in submission of export documents to the AD Bank?,"On late submission of the export documents after the prescribed period of 21 days from date of export, Banks may handle them without prior approval of the Reserve Bank, provided they are satisfied with the reasons for the delay.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: Is it possible to dispatch the export documents directly to the overseas buyer?,Only status holder and units in SEZ are permitted to dispatch the export documents to the consignees outside India subject to the terms and conditions. Direct dispatch may also be made if advance payment or an irrevocable letter of credit has been received for the full value of the export shipment and the underlying sale contract/letter of credit provides for dispatch of documents direct to the consignee or his agent resident in the country of final destination of goods.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is the time period for realization of export proceeds?,Time period for realization of export proceeds for all exporters is NINE Months.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
"Question: In which manner, the payment is required to be received?",The full value of the goods exported should be received through an AD Bank preferably in a freely convertible currency.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What are the conditions for advance against exports?,"Where an exporter receives advance payment (with or without interest), from a buyer outside India, the exporter shall be under an obligation to ensure that the shipment of goods is made within one year from the date of receipt of advance payment.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: Whether third party/third country payment is allowed?,"Yes, it is allowed subject to certain conditions like tripartite agreement, routing the payment through banking channel, declaring third party/country remittances in the Shipping Bill etc.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What happens in the cases where there is a reduction in the invoice and incase of change of buyer/consignee?,"If, after a bill has been negotiated or sent for collection, its amount is to be reduced for any reason, banks may approve such reduction, if satisfied about genuineness of the request, subject to conditions. In the event of change of buyer the documents to be transferred to the new buyer provided the reduction in value, if any, involved does not exceed 25 per cent of the invoice value and the realization of export proceeds is not delayed beyond the period of 9 months from the date of export.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is the procedure on sale of goods at overseas exhibitions/trade fairs?,RBI’s guidelines allow opening of a temporary foreign currency account abroad in which exporters can deposit foreign exchange obtained by sale of goods and operate the account during stay abroad. The balance is required to be repatriated to India through banking channel.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What happens to Overdue Bill?,"If the exporter fails to arrange for delivery of the proceeds within the stipulated period or seek extension of time beyond the stipulated period, the matter is reported to the Regional Office concerned of the Reserve Bank stating, where possible, the reason for the delay in realizing the proceeds. The duplicate copies of EDF/SOFTEX Forms should, continue to be held by Banks until the full proceeds are realized, except in case of undrawn balances. With operationalization of EDPMS on March 01, 2014, realization of all export transaction for shipping documents after February 28, 2014 should be reported in EDPMS.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is the procedure for extension time period of realization of export proceeds?,"The time period for realization of export proceeds may be extended by the AD Bank if it is satisfied that the exporter has not been able to realize export proceeds for reasons beyond his control or, if the exporter submits a declaration that the export proceeds will be realized during the extended period. Also, the total outstanding of the exporter does not exceed USD one million or 10 per cent of the average export realizations during the preceding three financial years, whichever is higher.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How is Write-off of unrealized export bills done?,"An exporter who has not been able to realize the outstanding export dues despite best efforts, may either self-write off or approach the AD Category – I banks, who had handled the relevant shipping documents, with appropriate supporting documentary evidence. The limits prescribed for write-offs of unrealized export bills are as under (subject to conditions): Self write-off by an exporter (Other than Status Holder Exporter)5%*Self write-off by Status Holder Exporters10%‘Write-off by Authorized Dealer Bank10%*of the total export proceeds realized during the previous calendar year. ",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is an Agency Commission and how much commission is payable?,"Agency commission is the commission paid by the Indian exporter to his overseas Agent at a percentage of the f.o.b. value of exports for his services in securing export contracts. The rate of commission specified by RBI is 12.5%. However, Banks may allow payment of commission at higher rate either by remittance or by deduction from invoice value, on application submitted by the exporter.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is an e-BRC?,Electronic Bank Realization Certificate (BRC) is uploaded on DGFT System by Banks on realization of payment against exports.. Any firm applying for benefits under Foreign Trade Policy is required to furnish e-BRC as a proof of realization of payment against exports made.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How are Short Shipments and Shut out Shipments treated?,"When part of a shipment covered by an EDF already filed with Customs is short-shipped, the exporter is required to give notice of short-shipment to the Customs in the form and manner prescribed. In case of delay in obtaining certified short-shipment notice from the Customs, the exporter should give an undertaking to the AD banks to the effect that he has filed the shorts shipment notice with the Customs and that he will furnish it as soon as it is obtained. Where a shipment has been entirely shut out and there is delay in making arrangements to re-ship, the exporter will give notice in duplicate to the Customs in the form and manner prescribed, attaching thereto the unused duplicate copy of EDF and the shipping bill. The Customs will verify that the shipment was actually shut out, certify the copy of the notice as correct and forward it to the Reserve Bank together with unused duplicate copy of the EDF. In this case, the original EDF received earlier from Customs will be cancelled.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is a Merchanting trade transaction and the procedure of this transaction?,"Merchanting Trade is when the supplier of goods will be resident in one foreign country; the buyer of goods will be resident in another foreign country; the merchant or the intermediary will be resident in India. Both the legs of a Merchanting Trade Transaction should be through the same AD bank. The entire Merchanting Trade Transactions should be completed within an overall period of nine months and there should not be any outlay of foreign exchange beyond four months. In case advance against the export leg is received by the Merchanting Trader, AD bank will ensures that the same is earmarked for making payment for the respective import leg. Merchanting Traders are allowed to make advance payment for the import leg on demand made by the overseas seller. In case where inward remittance from the overseas buyer is not received before the outward remittance to the overseas supplier, AD bank may handle such transactions by providing facility based on commercial judgment. It may, however, be ensured that any such advance payment for the import leg beyond USD 200,000/- per transaction, should be made against Bank Guarantee / LC from an international bank of repute, except in cases and to the extent where payment for export leg has been received in advance.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: Whether opening of Foreign Offices is allowed?,"Yes, application may be made to the AD Bank in this regard. At the time of setting up of the office, AD Category – I banks may allow remittances towards initial expenses up to fifteen per cent of the average annual sales/income or turnover during the last two financial years or up to twenty-five per cent of the net worth, whichever is higher.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How to send remittances from India to offices abroad?,"For recurring expenses, remittances up to ten per cent of the average annual sales/income or turnover during the last two financial years may be sent for the purpose of normal business operations of the office (trading/non-trading)/branch or representative office outside India subject to terms and conditions. For this purposes request may be made to the AD Bank for release of the payment to the Foreign Office.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
"Question: Where to apply for an EDF (Export Declaration Form) waiver and in which cases. How to take EDF approval for cases where goods are being exported for re-import after repairs/maintenance/ testing/calibration, etc?","Exporters are required to approach the Banks for grant of EDF waiver and banks may consider requests for grant of EDF waiver from exporters as per prescribed conditions in the case of goods for display in foreign fairs/exhibitions etc. Banks may consider request from exporters for granting EDF approval in cases where goods are being exported for re-import after repairs / maintenance / testing / calibration, etc., subject to the condition that the exporter shall produce relative Bill of Entry within one month of re-import of the exported item from India.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is an EEFC Account?,Exchange Earners Foreign Currency account is to enable exchange earners to save on conversion/transactions cost while undertaking a forex transaction. An exporter is allowed to credit 100% of their foreign earnings to their EEFC accounts.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How long can an exporter keep deposits in EEFC account and whether interest will be applicable?,The sum total of the accruals in the account during a calendar month is required to be converted in INR on or before the last day of the succeeding calendar month. The EEFC account is a non-interest bearing current account.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is a Gold Card Scheme?,This is a Reserve Bank of India Scheme for creditworthy exporters with good track record for easy availability of export credit on best terms. The Scheme envisages certain additional benefits based on the record of performance of the exporters. The Gold Card holder would enjoy simpler and more efficient credit delivery mechanism in recognition of his good track record. Gold Card under the Scheme may be issued to all eligible exporters including those in the small and medium sectors who satisfy the laid down conditions.,Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is an Interest Equalization Scheme?,"Under the Scheme, the Interest Equalisation @ 3% per annum has been made available to eligible exporters which includedmanufacturer exporters and Merchant Exporters for exports in theidentified 416 four digit tariff linesand @ 5% per annumto all MSME exporters across all their merchandise exports. TheScheme is available on Pre and Post Shipment Rupee Export Credit.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What is a Diamond Dollar Account (DDA)?,"Under the Scheme of DDA, firms/companies may deal in purchase/sale of rough/cut/polish diamonds, precious metal jewelry etc subject to stipulated conditions.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How is consolidation of Air cargo treated?,"Where air cargo is shipped under consolidation, the airline company’s Master Airway Bill will be issued to the Consolidating Cargo Agent. The Cargo agent in turn will issue his own House Airway Bills (HAWBs) to individual shippers. Banks will negotiate HAWBs only if the relative letter of credit specifically provides for negotiation of these documents in lieu of Airway Bills issued by the airline company.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: How is consolidation of Sea cargo treated?,"Banks may accept Forwarder’s Cargo Receipts (FCR) issued by IATA approved agents, in lieu of bills of lading, for negotiation / collection of shipping documents, in respect of export transactions backed by letters of credit, if the relative letter of credit specifically provides for negotiation of this document, in lieu of bill of lading Further, Authorized Dealers may, at their discretion, also accept FCR for purchase/discount/collection of shipping documents even in cases, where export transactions are not backed by letters of credit, provided their relative sale contract with overseas buyer provides for acceptance of FCR as a shipping document in lieu of bill of lading.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: What happen in case a loss of shipment in transit?,"In cases where the claim is payable abroad, the banks arrange to collect the full amount of claim due on the lost shipment, through the medium of their overseas branch/correspondent and release the duplicate copy of EDF only after the amount has been collected. Banks ensures that amounts of claims on shipments lost in transit which are partially settled directly by shipping companies/airlines under carrier’s liability abroad are also repatriated to India by exporters.",Frequently Asked QuestionsBanking/RBI Regulations,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,280",2024-07-22
Question: Whether MEIS will continue with effect from 1 Jan 2021?,"MEIS has since been withdrawn w.e.f. 1st January, 2021. A new Scheme calledRemission of Duties and Taxes on Exported Products (RoDTEP) has been introduced which shall refund the embedded duties suffered in export goods. For details, pleaseClick Here.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is MEIS?,One of the schemes for promoting exports is Merchandise Exports from India Scheme (MEIS) under which export of notified goods/products to notified markets as listed in appendix 3B of HBP (Handbook of procedures) are granted freely transferable duty credit scrips (at specified rates) of realized FOB value in free foreign currency.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is the procedure or claiming the MEIS benefit?,Application can be filled online using a digital signature on DGFT website with concerned regional authority in ANF 3 (A). The relevant SB & eBRC is linked with the online application.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is the time period for filling MEIS application?,It is twelve months from the LEO date or three months from the date of uploading of the EDI Shipping Bill onto DGFT server by the Customs.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is the validity of duty credit scripts?,The validity of the duty Credit Script is 24 months from the date of issue.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: How the duty credit scrip can be utilized?,"On receipt of the script from DGFT, it is required to be registered with the customs. Exporters can import goods by utilizing the scrip for payment of Custom Duty or transfer the same to any person at a premium.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is SEIS?,Service Exports from India Scheme (SEIS) is for promoting services exports. Under the scheme notified services at appendix 3D of HBP (Handbook of procedures) are eligible for freely transferable duty credit scrips at 5% of net foreign exchange earned.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is the procedure for claiming SEIS and what is the last date for applying?,"Application for grant of the benefit is made online in ANF–3B to the DGFT for eligible services rendered in a Financial Year, using a digital signature. The last date for applying for SEIS benefits is Twelve months from the end of relevant FY of the claim period.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is the criterion for eligibility for duty credit scrip?,"Service provider of notified services should have minimum net foreign exchange earnings of USD 15,000 in preceding financial year. The criterion for individual service provider is USD 10,000 in preceding financial year.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: Can these scripts be utilized for payment of GST and whether transfer of these scrips is taxable?,The Scrip is not allowed for payment of GST. Exemption from payment of GST is applicable on transfer of these scrips.,Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is Status Holder Scheme?,"Upon achieving prescribed export performance, status recognition as One Star Export House , Two Star Export House, Three Star Export House, Four Star Export House and Five Star Export House is accorded to the eligible applicants as per their export performance, Such status holders are eligible for various non-fiscal privileges as prescribed in the FTP 2015-20.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
Question: What is MAI Scheme?,"Under the Scheme, financial assistance is provided for export promotion activities on focus country, focus product basis to EPCs, Industry & Trade Associations, etc.",Frequently Asked QuestionsMerchandise Exports from India Scheme (MEIS),"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,15502",2024-07-22
