title,page_content,article_published_date,author,url
"InFlavour returns to Riyadh, feeding Saudi Arabia’s ambition of becoming the food & hospitality hub of the world","InFlavour, Saudi Arabia’s most influential Government-backed F&B event, is looking to build on the overwhelming success of last year’s inaugural edition as the event moves to Riyadh front exhibition and conference centre later this year. The show’s second iteration will run from October 1 to 3, and aims to further accelerate the nation’s ambitions to become the Middle Eastern food and hospitality hub of the world. It is backed by the Ministry of Environment, Water and Agriculture of Saudi Arabia (MEWA), the Saudi Business Center (SBC) and the Local Content & Government Procurement Authority (LCGPA).  The second annual event will be a powerful business-generation and knowledge-sharing platform. This year’s theme is ‘a new beginning for food’, and it will help F&B businesses increase trade margins and leverage investment opportunities in the region. The event will also position F&B businesses as leaders and innovators by facilitating trade between key decision-makers, investors, buyers, and entrepreneurs as well as transcending the culture of food through its on-site experiences. Global industry disruptors and pioneers will take to the event’s multiple stages to deliver thought-provoking insights on the sector’s hottest topics and try to inspire change. The Inflavour Connect match-making feature will enable participants to find suppliers, partners, and decision-makers to future-proof and grow their F&B businesses. Preparations are also underway to re-stage the highly successful Table of Flavours, where accredited chefs showcase their remarkable talents and creativity in the Chef’s Arena, including an all-star cast of the world’s top culinary talent. And the Main Stage will see a full line-up of global keynotes, and innovators from near and far - all focusing on the critical area of creating more sustainable food systems across the value chain.Attracting upwards of 30,000 visitors, the show last year took steps towards establishing an international profile with attendees from 130 countries and the involvement of global celebrity chefs Manal Al Alem and Marco Pierre White, the latter of whom dubbed the three-day show ‘an epicurean playground’. This year’s event is expected to attract upwards of 400 local, regional, and international exhibitors, as well as a cast of more than 50 industry-leading chefs. Some 200-plus experts will address key sector challenges, while in excess of 200 investors will seek to leverage emerging opportunities in Saudi’s vibrant and rapidly developing food industry. Al Rabie and Neoleap have been confirmed as strategic partners. And Sadafco, Foodics, Berain, Half Million, Aani & Dani, Fadeco and Alraedah are also all announced as exhibitors. Annabelle Mander, senior vice president of Tahaluf, said, “The Saudi food sector holds immense potential and is benefitting exponentially from its reputation as an industry hub and culinary destination of international standing. These ambitions are tightly aligned with Saudi Arabia’s National Industrial Strategy, which aims for food security and holistic economic development, enabling the country to anticipate attracting $20 billion in food industry investment by 2035. InFlavour is a pathway towards participating in this vision and journey.”",2024-07-20,"Riyadh, Saudi Arabia",https://www.fnbnews.com/Top-News/inflavour-returns-to-riyadh-feeding-saudi-arabias-ambition-of-becoming-the-food--hospitality-hub-of-the-world-79101
ZARF brings Indian accent to Sheraton Grand Bengaluru Whitefield Hotel,"Brace yourself for two days of an extraordinary culinary adventure. Sheraton Grand Bengaluru Whitefield Hotel has announced a special culinary pop-up at ZARF, the hotel's distinguished Indian specialty restaurant, on July 26 and 27. This exclusive event is a much-awaited collaboration with Indian Accent, the world’s pioneering modern Indian restaurant.Indian Accent is celebrated for its inventive Indian cuisine, masterfully combining traditional Indian flavours with global ingredients and techniques. Under the guidance of head chef Rijul Gulati from Indian Accent Mumbai, it will present a culinary extravaganza that promises an unforgettable experience. Guests can expect Indian Accent signature dishes like Smoked Arbi, Kanyakumari Crab, Murgh Malai, Ghee Lamb, Daulat ki Chaat, Doda Burfi Treacle Tart and much more. Gulati said, “We're thrilled to bring our inventive take on Indian flavours to Zarf Kitchen, Sheraton Bangalore. Join us for an unforgettable culinary journey, where you can indulge in some of the finest Indian cuisine amidst Zarf's enchanting ambiance. This is an event not to be missed for food enthusiasts across the city.”",2024-07-20,"Our Bureau, Bengaluru",https://www.fnbnews.com/Top-News/zarf-brings-indian-accent-to-sheraton-grand-bengaluru-whitefield-hotel-79100
Courtyard by Marriott Bengaluru Hebbal unveils taste of the House of Qureshi at Nazaara,"Courtyard by Marriott Bengaluru Hebbal, renowned for its exceptional food festivals, unveils a mesmerising new offering from the House of Qureshi. Visit Nazaara from July 19 to 28, 2024, as we take you on a culinary journey through the lanes of Lucknow with chef Rizwan Alam Qureshi, the Indian master chef of Nazaara. Patrons are promised an incredible line-up of dishes and desserts that will rekindle their palates. Qureshi, with his culinary artistry, will introduce guests to dishes that were once the favourites of Nawabs and have stood the test of time. During this 10-day food festival, guests can savour authentic, sumptuous signature dishes. Highlights of the exclusive menu include Murgh Noormahli Korma, Gosht Ke Dardari Seekh, Jhinga Dum Nisha, Lucknowi Tokri Chaat, Gulatthi and more.",2024-07-20,"Our Bureau, Bengaluru",https://www.fnbnews.com/Top-News/courtyard-by-marriott-bengaluru-hebbal-unveils-taste-of-the-house-of-qureshi-at-nazaara-79099
Begam expands its footprint to Noida with its newest location in Gardens Galleria Mall,"After successfully establishing itself as a haven of artistry and culinary excellence in Delhi, Belcibo’s Begam now opens its door to the discerning patrons of Noida. The new outlet at Gardens Galleria Mall, Noida is open from July 17, 2024. Conceived by seasoned restauranteurs Naresh and Sharad Madan, it promises a delightful culinary experience to Noida’s food lovers where gastronomic artistry, steeped in rich cultural aesthetics is displayed through a fine spread of Turkish and Mediterranean cuisines. With meticulously crafted dishes by expert chefs and an ambiance that transports guests to an era of sophistication, it is all about elegance and exclusivity. Spread over an impressive area of 5000 sq ft, the restaurant is also an ode to the spirit and strength of the contemporary women. An innovative concept is a tribute to the bold, self-assured, and unapologetic women of today, Begam has already established itself as a brand that embraces contemporary finesse and classic grandeur while offering memorable experiences to its guests. The brand celebrates and empowers modern femininity through every aspect of the restaurant, be it the inspired interiors or the super chic display of dishes. Begam aspires to create a space where guests can immerse themselves in an exclusive experience, leaving them with cherished memories and a desire to return.Sharad Madan, director & co-founder at Belcibo Hospitality Pvt. Ltd., said, “Begam is for those seeking an immersive dining experience that goes beyond the ordinary. We aim to become the go-to destination in Noida for those who appreciate fine dining, impeccable mixology, and a sophisticated atmosphere. By offering a space that blends culinary excellence with cultural richness, we look forward to creating cherished memories and building loyal patronage in Noida. Our vision with Begam is to become a leading destination for those seeking a unique and elevated dining experience.”",2024-07-20,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/begam-expands-its-footprint-to-noida-with-its-newest-location-in-gardens-galleria-mall-79098
"Enjoy brunch at The Oriental Blossom, Hotel Marine Plaza","Experience the ultimate Sunday Brunch at The Oriental Blossom, Hotel Marine Plaza, where culinary excellence meets delightful dining. The chef has meticulously crafted a menu featuring his signature dishes, offering a unique opportunity to savour a variety of the finest creations. This brunch is designed for guests to enjoy with family and friends, providing a perfect setting for a relaxed and indulgent afternoon.Each dish is a testament to the commitment to quality and taste, ensuring a memorable dining experience. The menu showcases the best of the cuisine, blending tradition with innovation to delight taste buds. Every item is prepared with the utmost care and passion, from exquisite appetisers to delectable mains and decadent desserts.",2024-07-20,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/enjoy-brunch-at-the-oriental-blossom-hotel-marine-plaza-79097
Govt to amend rules for packaged goods; traders fear inflation,"The Central Government is preparing to amend the legal metrology rules for packaged goods.Traders fear inflation will increase further as the proposed rules will include packages weighing more than 25 kg under the purview of GST. Shankar Thakkar, president of All India Edible Oil Traders Federation, has said that the Consumer Affairs Department has proposed an amendment to the Legal Metrology Rules, which will make it mandatory to display information including name, country of origin and expiry date etc. on all packaged goods sold for retail sale (for any quantity).""Currently, the Legal Metrology (Packaged Commodities) Rules, 2011, barring some exceptions, do not apply to packaged commodities weighing more than 25 kg or 25 litre. Now, DoCA is proposing to make the rules mandatory for all pre-packaged commodities meant for retail sale, even if the quantity exceeds 25 kg or 25 litre,"" said Thakkar.These rules currently do not apply to packages of commodities having a quantity exceeding 25 kg or 25 litre except in the case of cement, fertilisers and agricultural produce sold in bags up to 50 kg in the retail channel. These rules also do not apply to products packaged for industrial and institutional consumers and to cement, fertilisers and agricultural produce sold in bags exceeding 50 kg.The amended provision will provide that these rules will apply to all packaged commodities sold in bags at retail, except for commodities packaged for industrial consumers.The DoCA reasoned that till now, the rules did not apply to large packs having quantities of more than 25 kg or litre as it was held that such packs are not meant for retail sale. DoCA added that packaged commodities above 25 kg were found available in the market for retail sale, which is not in consonance with the intent of making all declarations on pre-packaged commodities meant for retail sale.The department said the amendment is being proposed in view of the evolving market on both offline and online channels.""This amended provision will help in establishing uniform standards and requirements for packaged commodities, promote consistency and fairness across different brands and products and help consumers make informed choices,"" DoCA said.Meanwhile, Thakkar has urged all the agri traders to oppose the move and asked government to reconsider the decision. He said, ""All the organisations of the country, especially those related to agricultural products, are called upon to register their objections or suggestions within the next 15 days i.e. by 29th July so that the government reconsiders making this amendments.""",2024-07-20,"Ashwani Maindola, New Delhi",https://www.fnbnews.com/Top-News/govt-to-amend-rules-for-packaged-goods-traders-fear-inflation-79092
HRAWI set to host 'Empowering Hospitality' conclave in Nagpur on July 26,"The Hotel and Restaurant Association (Western India) – HRAWI, is set to host the 'Empowering Hospitality' conclave at Hotel Centre Point in Nagpur on Friday, July 26, 2024. The event will feature prominent speakers - Rajesh Chopra, head of Hospitality Business at Ingram Micro India; Hemant Khadse, CEO of East Corp Group; and Jitendra Gawade, key account manager at Envu India. The experts will address key issues and advancements in Information Technology, Fire Safety and Pest Prevention Techniques within the hospitality sector. The conclave will also host an award ceremony to recognise hoteliers from the city who have demonstrated excellence in various aspects of hospitality management.Pradeep Shetty, president, HRAWI, said, “Our top priority in the hospitality industry is to ensure the health and safety of our guests and employees. The 'Empowering Hospitality' conclave is designed to share and promote best practices within the industry. Our expert speakers will provide valuable insights, answer queries and offer clarity to hospitality professionals in attendance. I would urge hospitality establishments to take benefit of this opportunity by nominating their personnel to attend the event.”",2024-07-20,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/hrawi-set-to-host-empowering-hospitality-conclave-in-nagpur-on-july-26-79096
Farmers & Farmer Producer Organisations unveils launch of Bihar's first farmer’s federation,"Bihar-based Farmer Producer Organisations (FPOs) have registered the state's first farmers' federation, BIHPRO, ushering in a new era for the agricultural landscape. This milestone has been supported by Samunnati, a leading agri-value chain enabler which has signed a Memorandum of Understanding (MoU) with BIHPRO for supporting its FPO partners through various assistance and financial benefits.The organisations will initially focus on producing 7 major crops which includes Maize, Lichi, Wheat Paddy, Mango, Vegetables and Turmeric. BIHPRO currently has 10 FPOs but through the regular events and workshops, it aims to onboard more FPOs and targets to achieve turnover of Rs 8 crore by end of this financial year. It is committed to providing financing, market linkage, technological inputs, and training to support this federation's growth and success. This federation aims to amplify the voices of farmers on state and national platforms, ensuring their concerns and needs are effectively addressed.Pravesh Sharma, director of Samunnati, highlighted the potential of Bihar's fertile land. He said, ""With proper assistance and market opportunities, Bihar-based farmers can revolutionise the agriculture sector with their world-class farming products. Samunnati is on a mission to empower every farmer in the country, enabling them to earn well and pursue their agricultural occupation with dignity and fulfilment.""To amplify its voice, it hosted the inaugural FPOs Kick-Off Summit in Muzaffarpur, Bihar, bringing together representatives from around 50 FPCs across the State. The event provided a platform for farmers to interact, learn, and share experiences with various stakeholders, including institutional players and development agencies. The primary purpose of this summit was to encourage farmers to register and become part of the consortium. Discussions at the event focused on operational plans and strategies to enhance primary revenue streams through input and output channels, in collaboration with the team.",2024-07-20,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/farmers--farmer-producer-organisations-unveils-launch-of-bihars-first-farmers-federation-79095
"Datuk Seri Johari Abdul Ghani, visits to strengthen bilateral relations","Malaysian Minister of Plantation & Commodities, Datuk Seri Johari Abdul Ghani, visited New Delhi in efforts to develop and strengthen bilateral relations with India. With this being his first visit to India, Minister Ghani, met with his Indian counterpart Shivraj Singh Chouhan, Minister of Agriculture and Farmers' Welfare at a G2G meeting held at Krishi Bhavan, New Delhi, to discuss and support India’s efforts to become “Atmanirbhar” in its edible oil security goals, among others.Within the G2G meeting held, Ghani and Chouhan had detailed discussions around key matters such as, consistent export policies that support Indian buyers, joint efforts to address global food security, India’s ambitious goals to become a self-sufficient edible oil nation under NMEO-OP, the importance of sustainable Palm oil plantations, along with offering on-going support to meet India’s Palm oil requirements.Ghani said, “Malaysia stands ready to provide invaluable support, encouraging the growth of oil palm cultivation. India’s importance to Malaysia’s oil palm sector cannot be understated. Minister Shivraj Singh Chouhan and I have envisioned a partnership that benefits both our nations. This partnership will also meaningfully contribute towards achieving global food security needs and sustainability goals.”Palm oil stands out as one of the most efficient edible oils in terms of productivity and land use. Globally, oil palm trees occupy less than 8% of the total land area dedicated to all crops, yet they contribute 32% to major seed oil production. Amid mounting global concerns about climate change and deforestation, palm oil is uniquely positioned to efficiently meet the rising global demand for edible oils.On the importance of sustainable palm oil consumption and cultivation Minister Ghani said, “Malaysia is deeply committed to sustainable palm oil production, adhering to stringent environmental standards and sustainable practices. The Malaysian Sustainable Palm Oil (MSPO), certification scheme ensures that palm oil is produced sustainably, safeguarding forests, biodiversity, and local communities.”",2024-07-20,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/datuk-seri-johari-abdul-ghani-visits-to-strengthen-bilateral-relations-79094
BCD iLabs triumphs at IFT FIRST 2024 with ground-breaking AI- driven R&D platform,"BCD iLabs, a leading innovator in AI for Food technology, made waves at the IFT FIRST 2024 event in Chicago, showcasing its revolutionary Innov8 OS platform to over 20,000 industry professionals from around the globe. The annual gathering, held from July 14 to 17 at McCormick Place, proved to be an exceptional showcase for BCD's cutting-edge AI-driven R&D solution.The highlight of BCD's participation was the resounding success of Innov8 OS at the IFT FIRST Innovation Lab on July 17. Attendees were given the opportunity to experience firsthand the power of AI-driven R&D experiments, marking a significant leap forward in food formulation technology. Innov8 OS, BCD's flagship software platform, captivated industry leaders with its ability to accelerate product development cycles and reduce the number of experiments required for successful bench-scale projects. By incorporating nutritional, functional, sensory, regulatory, cost, and supply chain parameters into a single experiment, Innov8 OS demonstrated its capacity to revolutionize R&D processes for food and beverage CPG and ingredient companies. A delegation from BCD actively engaged with attendees, showcasing how Innov8 OS optimises R&D workflows, provides tailored formulations, and enables hyper-personalized product development. The platform's AI-driven approach garnered significant interest from companies seeking to enhance their product velocity and gain a competitive edge in the rapidly evolving food and beverage landscape. As the event concludes, the company’s successful participation underscores the growing importance of AI-driven solutions in shaping the future of food formulation. The company's innovative approach aligns perfectly with the event's focus on food improved by AI, research, science, and technology, positioning it at the forefront of the industry's technological revolution.",2024-07-20,Chicago,https://www.fnbnews.com/Top-News/bcd-ilabs-triumphs-at-ift-first-2024-with-groundbreaking-ai-driven-rd-platform-79093
